time, reward, action, observation
11, -4.225177664226183, 0, [-4.225178   -1.8823416  -0.98594564 11.        ]
12, -204.1890606745579, 1, [-4.1890607 -4.225178  -1.8823416 12.       ]
13, -3.4933871577719353, 0, [-3.4933872 -4.1890607 -4.225178  13.       ]
14, -202.79957749677737, 1, [-2.7995775 -3.4933872 -4.1890607 14.       ]
15, -202.82690840523637, 1, [-2.8269083 -2.7995775 -3.4933872 15.       ]
16, -3.319123066104748, 0, [-3.319123  -2.8269083 -2.7995775 16.       ]
17, -202.30151110614193, 1, [-2.301511  -3.319123  -2.8269083 17.       ]
18, -1.4086082264724382, 0, [-1.4086082 -2.301511  -3.319123  18.       ]
19, -0.6702863019558183, 0, [-0.6702863 -1.4086082 -2.301511  19.       ]
20, -200.47163988013926, 1, [-0.47163987 -0.6702863  -1.4086082  20.        ]
21, -200.34519394104865, 1, [-0.34519395 -0.47163987 -0.6702863  21.        ]
22, -0.1586656336957299, 0, [ 0.15866563 -0.34519395 -0.47163987 22.        ]
23, -200.49018031294156, 1, [ 0.4901803   0.15866563 -0.34519395 23.        ]
24, -200.5726461615625, 1, [ 0.57264614  0.4901803   0.15866563 24.        ]
25, -200.02721686730317, 1, [-0.02721687  0.57264614  0.4901803  25.        ]
26, -200.1367141293017, 1, [ 0.13671413 -0.02721687  0.57264614 26.        ]
27, -200.20105471092606, 1, [-0.2010547   0.13671413 -0.02721687 27.        ]
28, -200.3239938663359, 1, [ 0.32399386 -0.2010547   0.13671413 28.        ]
29, -0.10850731728343432, 0, [ 0.10850732  0.32399386 -0.2010547  29.        ]
30, -0.13269241009635135, 0, [-0.13269241  0.10850732  0.32399386 30.        ]
31, -0.3293313351458154, 0, [-0.32933134 -0.13269241  0.10850732 31.        ]
32, -200.97042332485248, 1, [-0.97042334 -0.32933134 -0.13269241 32.        ]
33, -200.0567444893009, 1, [-0.05674449 -0.97042334 -0.32933134 33.        ]
34, -1.4044019627701347, 0, [ 1.404402   -0.05674449 -0.97042334 34.        ]
35, -201.18168920025374, 1, [ 1.1816891   1.404402   -0.05674449 35.        ]
36, -201.34284546899278, 1, [ 1.3428454  1.1816891  1.404402  36.       ]
37, -201.34311323178727, 1, [ 1.3431132  1.3428454  1.1816891 37.       ]
38, -200.17852177492418, 1, [-0.17852178  1.3431132   1.3428454  38.        ]
39, -1.270630772154572, 0, [-1.2706307  -0.17852178  1.3431132  39.        ]
40, -201.27273932808333, 1, [-1.2727393  -1.2706307  -0.17852178 40.        ]
41, -1.2328174960890643, 0, [-1.2328175 -1.2727393 -1.2706307 41.       ]
42, -1.739317490407244, 0, [-1.7393175 -1.2328175 -1.2727393 42.       ]
43, -2.2791910089719902, 0, [-2.279191  -1.7393175 -1.2328175 43.       ]
44, -2.800219205514936, 0, [-2.8002193 -2.279191  -1.7393175 44.       ]
45, -2.6229946541431337, 0, [-2.6229947 -2.8002193 -2.279191  45.       ]
46, -202.00774605106523, 1, [-2.007746  -2.6229947 -2.8002193 46.       ]
47, -1.5183246837042508, 0, [-1.5183247 -2.007746  -2.6229947 47.       ]
48, -0.36230259085999195, 0, [-0.3623026 -1.5183247 -2.007746  48.       ]
49, -200.39699460634912, 1, [-0.39699462 -0.3623026  -1.5183247  49.        ]
50, -200.53374134424922, 1, [-0.53374135 -0.39699462 -0.3623026  50.        ]
51, -201.3785997129029, 1, [-1.3785998  -0.53374135 -0.39699462 51.        ]
52, -1.2699334846840262, 0, [-1.2699335  -1.3785998  -0.53374135 52.        ]
53, -200.56719134652235, 1, [-0.56719136 -1.2699335  -1.3785998  53.        ]
54, -0.4534263862628474, 0, [ 0.4534264  -0.56719136 -1.2699335  54.        ]
55, -200.8786262249299, 1, [ 0.8786262   0.4534264  -0.56719136 55.        ]
56, -1.2738603896953535, 0, [ 1.2738603  0.8786262  0.4534264 56.       ]
57, -1.6977921910988871, 0, [ 1.6977922  1.2738603  0.8786262 57.       ]
58, -1.9109343370880603, 0, [ 1.9109343  1.6977922  1.2738603 58.       ]
59, -201.53748737365078, 1, [ 1.5374874  1.9109343  1.6977922 59.       ]
60, -1.2658816087577758, 0, [ 1.2658817  1.5374874  1.9109343 60.       ]
61, -201.77579838475555, 1, [ 1.7757984  1.2658817  1.5374874 61.       ]
62, -2.4615757564577945, 0, [ 2.4615757  1.7757984  1.2658817 62.       ]
63, -202.1482179520175, 1, [ 2.148218   2.4615757  1.7757984 63.       ]
64, -1.6078356832435252, 0, [ 1.6078357  2.148218   2.4615757 64.       ]
